full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
feiskyer/claude-code-settings,1515,1515,222,0,0,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1107,1107,242,0,0,0,https://github.com/sugyan/claude-code-webui
alirezarezvani/claude-skills,15554,15554,2123,31,31,4,https://github.com/alirezarezvani/claude-skills
router-for-me/CLIProxyAPI,33632,33632,5589,53,53,6,https://github.com/router-for-me/CLIProxyAPI
snarktank/ralph,19284,19284,1922,17,17,3,https://github.com/snarktank/ralph
darcyegb/ClaudeCodeAgents,700,700,63,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
farion1231/cc-switch,75758,75758,4922,227,227,19,https://github.com/farion1231/cc-switch
Hyper66666/claude-code-sourcemap,214,214,458,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
anthropics/claude-plugins-official,20311,20311,2512,184,184,7,https://github.com/anthropics/claude-plugins-official
KPR111/Claude-Code,17,17,330,0,0,0,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2319,2319,220,2,2,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1566,1566,253,0,0,0,https://github.com/lst97/claude-code-sub-agents
catlog22/Claude-Code-Workflow,2022,2022,161,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
